Step; Train Loss; Train Loss Avg; Val Loss Avg ; lr;  norm ;  dt (s);  Tokens/s;
256; 6.537; NA; NA; 0.0002157; 0.8783; 0.3874; 84578.44210049551;
257; 6.521; NA; NA; 0.0002165; 0.745; 0.3873; 84604.63068110816;
258; 6.595; NA; NA; 0.0002173; 0.7581; 0.3816; 85862.21051395271;
259; 6.527; NA; NA; 0.0002182; 0.774; 0.3844; 85237.10687279022;
260; 6.66; NA; NA; 0.000219; 0.7933; 0.389; 84232.59347658213;
261; 6.593; NA; NA; 0.0002199; 0.9635; 0.384; 85342.00926077137;
262; 6.481; NA; NA; 0.0002207; 0.7466; 0.3816; 85869.18436899039;
263; 6.832; NA; NA; 0.0002215; 1.158; 0.3874; 84584.06372901384;
264; 6.771; NA; NA; 0.0002224; 1.543; 0.3866; 84758.23520466026;
265; 6.493; NA; NA; 0.0002232; 0.8109; 0.3839; 85353.88127249297;
266; 6.896; NA; NA; 0.0002241; 0.9709; 0.3877; 84518.68045066313;
267; 6.518; NA; NA; 0.0002249; 1.031; 0.3872; 84631.98198970417;
268; 6.417; NA; NA; 0.0002257; 0.9465; 0.3805; 86109.12928622356;
269; 6.745; NA; NA; 0.0002266; 1.321; 0.3803; 86169.48726256815;
270; 6.858; NA; NA; 0.0002274; 1.476; 0.3858; 84929.50406452318;
271; 6.405; NA; NA; 0.0002283; 1.081; 0.3867; 84728.45167315923;
272; 6.631; NA; NA; 0.0002291; 0.95; 0.3845; 85211.7932631083;
273; 6.542; NA; NA; 0.0002299; 0.7415; 0.3843; 85277.51295521966;
274; 6.827; NA; NA; 0.0002308; 0.8214; 0.3874; 84585.62542511616;
275; 6.512; NA; NA; 0.0002316; 0.7109; 0.3864; 84794.10772215898;
276; 6.359; NA; NA; 0.0002324; 0.654; 0.3816; 85864.51712524108;
277; 6.569; NA; NA; 0.0002333; 0.7734; 0.3855; 84991.00455877806;
278; 6.474; NA; NA; 0.0002341; 0.5791; 0.3876; 84551.0213513871;
279; 6.576; NA; NA; 0.000235; 0.6552; 0.384; 85326.1144175784;
280; 6.479; NA; NA; 0.0002358; 0.7818; 0.385; 85118.17387922342;
281; 6.56; NA; NA; 0.0002366; 0.5649; 0.3872; 84633.07640988978;
282; 6.518; NA; NA; 0.0002375; 0.5451; 0.3839; 85348.68686095894;
283; 6.444; NA; NA; 0.0002383; 0.6413; 0.3798; 86273.5574755502;
284; 6.465; NA; NA; 0.0002392; 0.5829; 0.3861; 84874.17201477652;
285; 6.451; NA; NA; 0.00024; 0.7459; 0.387; 84662.53215340395;
286; 6.5; NA; NA; 0.0002408; 0.7316; 0.3839; 85347.8918537599;
287; 6.41; NA; NA; 0.0002417; 0.5426; 0.3829; 85584.12887533603;
288; 6.679; NA; NA; 0.0002425; 0.6286; 0.3857; 84950.81695444304;
289; 6.457; NA; NA; 0.0002434; 0.5523; 0.3868; 84717.58850879513;
290; 6.381; NA; NA; 0.0002442; 0.6172; 0.3821; 85750.943193935;
291; 6.478; NA; NA; 0.000245; 0.7107; 0.3828; 85593.0831692849;
292; 6.673; NA; NA; 0.0002459; 1.095; 0.3881; 84442.24225351421;
293; 6.766; NA; NA; 0.0002467; 1.423; 0.3859; 84917.43500436515;
294; 6.58; NA; NA; 0.0002476; 0.8769; 0.3825; 85665.26558179774;
295; 6.491; NA; NA; 0.0002484; 0.6073; 0.3849; 85144.06484974225;
296; 6.349; NA; NA; 0.0002492; 0.7685; 0.3892; 84198.53550284258;
297; 6.561; NA; NA; 0.0002501; 0.6341; 0.3835; 85448.60453109846;
298; 6.259; NA; NA; 0.0002509; 0.8656; 0.3835; 85435.9095083606;
299; 6.995; NA; NA; 0.0002517; 0.8934; 0.3884; 84371.79457914458;
300; 7.176; 6.533; 6.524; 0.0002526; 0.8604; 0.3819; 85811.22851471895;
301; 7.071; NA; NA; 0.0002534; 0.9451; 0.3686; 88909.89037684133;
302; 7.1; NA; NA; 0.0002543; 0.8772; 0.3802; 86196.184028749;
303; 7.09; NA; NA; 0.0002551; 1.056; 0.3906; 83891.86599905878;
304; 6.652; NA; NA; 0.0002559; 1.381; 0.3817; 85855.18415964788;
305; 6.63; NA; NA; 0.0002568; 0.9152; 0.3803; 86168.78493940741;
306; 6.429; NA; NA; 0.0002576; 1.448; 0.38; 86221.05824357133;
307; 6.525; NA; NA; 0.0002585; 0.7984; 0.3804; 86135.19485039976;
308; 6.571; NA; NA; 0.0002593; 0.9452; 0.378; 86692.41900561575;
309; 6.58; NA; NA; 0.0002601; 0.6798; 0.381; 86011.3219097112;
310; 6.516; NA; NA; 0.000261; 0.6549; 0.3823; 85711.26326666921;
311; 10.22; NA; NA; 0.0002618; 8.791; 0.3816; 85879.05699278545;
312; 8.386; NA; NA; 0.0002627; 4.727; 0.3833; 85492.72116495916;
313; 6.377; NA; NA; 0.0002635; 2.473; 0.3848; 85154.56282489278;
314; 6.667; NA; NA; 0.0002643; 1.422; 0.3827; 85619.37057820926;
315; 6.392; NA; NA; 0.0002652; 1.011; 0.3809; 86024.94233581028;
316; 6.423; NA; NA; 0.000266; 0.9301; 0.3808; 86049.5561765006;
317; 6.547; NA; NA; 0.0002669; 0.9549; 0.3816; 85880.93519451767;
318; 6.502; NA; NA; 0.0002677; 0.7433; 0.3844; 85250.64181742056;
319; 6.396; NA; NA; 0.0002685; 0.6277; 0.3839; 85361.99217923173;
320; 6.364; NA; NA; 0.0002694; 0.685; 0.3834; 85474.05905491489;
321; 6.566; NA; NA; 0.0002702; 0.5893; 0.3825; 85677.28111700487;
322; 6.416; NA; NA; 0.000271; 0.9238; 0.3821; 85754.79549284736;
323; 6.624; NA; NA; 0.0002719; 0.7471; 0.3851; 85085.3977339278;
324; 6.581; NA; NA; 0.0002727; 0.7188; 0.3837; 85406.39090748089;
325; 6.434; NA; NA; 0.0002736; 0.7075; 0.3829; 85578.79982789465;
326; 6.557; NA; NA; 0.0002744; 0.6706; 0.3816; 85862.4250772168;
327; 6.441; NA; NA; 0.0002752; 0.6402; 0.383; 85565.85300790171;
328; 6.444; NA; NA; 0.0002761; 0.6639; 0.3859; 84914.75928607793;
