Step; Train Loss; Train Loss Avg; Val Loss Avg ; lr;  norm ;  dt (s);  Tokens/s;
278; 2.455; NA; NA; 0.001; 0.0; 0.02538; 40348.789959228154;
279; 2.456; NA; NA; 0.001; 0.0; 0.02478; 41324.782511642225;
280; 2.438; NA; NA; 0.001; 0.0; 0.02508; 40825.52109730711;
281; 2.455; NA; NA; 0.001; 0.0; 0.02532; 40441.49164799156;
282; 2.453; NA; NA; 0.001; 0.0; 0.02525; 40561.03368621859;
283; 2.509; NA; NA; 0.001; 0.0; 0.02526; 40536.53314205355;
284; 2.519; NA; NA; 0.001; 0.0; 0.02501; 40946.95727946154;
285; 2.382; NA; NA; 0.001; 0.0; 0.0248; 41294.18892595833;
286; 2.482; NA; NA; 0.001; 0.0; 0.02515; 40718.30959423587;
287; 2.522; NA; NA; 0.001; 0.0; 0.02515; 40719.08166631904;
288; 2.471; NA; NA; 0.001; 0.0; 0.02527; 40516.26602267796;
289; 2.44; NA; NA; 0.001; 0.0; 0.0249; 41117.47813433407;
290; 2.513; NA; NA; 0.001; 0.0; 0.02466; 41519.73334364487;
291; 2.48; NA; NA; 0.001; 0.0; 0.02502; 40927.057765241756;
292; 2.595; NA; NA; 0.001; 0.0; 0.02487; 41177.002981640384;
293; 2.475; NA; NA; 0.001; 0.0; 0.02475; 41370.558733155456;
294; 2.54; NA; NA; 0.001; 0.0; 0.02487; 41174.63446808103;
295; 2.524; NA; NA; 0.001; 0.0; 0.02552; 40126.75569673471;
296; 2.478; NA; NA; 0.001; 0.0; 0.02485; 41205.05109657117;
297; 2.546; NA; NA; 0.001; 0.0; 0.02496; 41029.10075371844;
298; 2.56; NA; NA; 0.001; 0.0; 0.02515; 40708.27532083484;
299; 2.492; NA; NA; 0.001; 0.0; 0.02483; 41232.34575913215;
300; 2.534; 2.513; 2.539; 0.001; 0.0; 0.02612; 39199.102803738315;
301; 2.624; NA; NA; 0.001; 0.0; 0.02775; 36903.41710200715;
302; 2.549; NA; NA; 0.001; 0.0; 0.02632; 38905.09888039422;
303; 2.519; NA; NA; 0.001; 0.0; 0.02554; 40095.28931375386;
304; 2.435; NA; NA; 0.001; 0.0; 0.02535; 40394.3277843613;
305; 2.413; NA; NA; 0.001; 0.0; 0.02506; 40860.088056776454;
306; 2.421; NA; NA; 0.001; 0.0; 0.025; 40966.87615413964;
307; 2.477; NA; NA; 0.001; 0.0; 0.02507; 40839.88452541696;
308; 2.51; NA; NA; 0.001; 0.0; 0.02506; 40869.80841001437;
309; 2.456; NA; NA; 0.001; 0.0; 0.02496; 41033.0205692121;
310; 2.527; NA; NA; 0.001; 0.0; 0.02499; 40970.39326153523;
311; 2.43; NA; NA; 0.001; 0.0; 0.02523; 40590.933797053236;
312; 2.477; NA; NA; 0.001; 0.0; 0.02494; 41053.02328426687;
313; 2.473; NA; NA; 0.001; 0.0; 0.02521; 40617.420665393125;
314; 2.47; NA; NA; 0.001; 0.0; 0.02559; 40017.21168753727;
315; 2.477; NA; NA; 0.001; 0.0; 0.02506; 40869.03061156521;
316; 2.53; NA; NA; 0.001; 0.0; 0.02495; 41048.31500879272;
317; 2.486; NA; NA; 0.001; 0.0; 0.02485; 41203.469905408776;
318; 2.426; NA; NA; 0.001; 0.0; 0.02499; 40970.39326153523;
319; 2.372; NA; NA; 0.001; 0.0; 0.025; 40966.09465672154;
320; 2.502; NA; NA; 0.001; 0.0; 0.02495; 41043.215595585076;
321; 2.547; NA; NA; 0.001; 0.0; 0.02485; 41211.37707497745;
322; 2.476; NA; NA; 0.001; 0.0; 0.02505; 40883.03551473038;
323; 2.463; NA; NA; 0.001; 0.0; 0.02501; 40942.273300096276;
324; 2.401; NA; NA; 0.001; 0.0; 0.02501; 40935.63949675944;
325; 2.537; NA; NA; 0.001; 0.0; 0.02486; 41185.68986316082;
326; 2.484; NA; NA; 0.001; 0.0; 0.02498; 40987.98786097379;
327; 2.446; NA; NA; 0.001; 0.0; 0.0249; 41120.62745098039;
328; 2.419; NA; NA; 0.001; 0.0; 0.02485; 41208.609220436556;
329; 2.428; NA; NA; 0.001; 0.0; 0.02482; 41250.56229890798;
330; 2.462; NA; NA; 0.001; 0.0; 0.02485; 41203.074626579306;
331; 2.446; NA; NA; 0.001; 0.0; 0.02552; 40129.38012482715;
