Step; Train Loss Accum; Val Loss Accum ; lr;  norm ;  dt (s);  Tokens/s;
1940; 6.084; 5.996; 0.0005941; 0.68; 0.9266; 8840.687429918493;
1950; 6.161; 6.067; 0.000594; 0.9402; 0.9297; 8811.3167218062;
1960; 6.094; 6.009; 0.0005939; 0.9806; 0.9254; 8852.855548948213;
1970; 6.074; 5.988; 0.0005938; 0.7886; 0.9372; 8740.831944269903;
1980; 6.049; 5.967; 0.0005937; 0.7242; 0.9302; 8807.102322852477;
1990; 6.035; 5.95; 0.0005936; 0.7058; 0.9264; 8842.766985653814;
2000; 6.034; 5.943; 0.0005935; 0.6826; 0.9289; 8819.05813179305;
2010; 6.025; 5.937; 0.0005934; 0.768; 0.9219; 8885.605330783143;
2020; 6.04; 5.951; 0.0005933; 0.6979; 0.9264; 8842.650923402656;
2030; 6.041; 5.944; 0.0005932; 0.6918; 0.9261; 8845.806169816571;
2040; 6.023; 5.928; 0.0005931; 0.6156; 0.9308; 8801.03850176291;
2050; 6.018; 5.925; 0.000593; 0.631; 0.9268; 8839.243237708766;
2060; 6.003; 5.905; 0.0005929; 0.6142; 0.9214; 8890.895862389827;
2070; 6.06; 5.954; 0.0005928; 0.8288; 0.9327; 8783.330351341001;
2080; 6.018; 5.921; 0.0005927; 0.8375; 0.9252; 8854.571160266896;
2090; 6.024; 5.927; 0.0005926; 0.699; 0.9303; 8805.897014814062;
2100; 6.002; 5.912; 0.0005925; 0.6387; 0.9239; 8866.486970474321;
2110; 6.016; 5.926; 0.0005923; 0.6931; 0.9238; 8867.35420188301;
2120; 6.006; 5.922; 0.0005922; 0.9145; 0.9242; 8863.806261929532;
2130; 6.049; 5.961; 0.0005921; 0.8693; 0.9301; 8807.750255826591;
2140; 6.013; 5.923; 0.000592; 0.688; 0.9334; 8776.137910037261;
2150; 6.012; 5.91; 0.0005919; 1.088; 0.9269; 8837.865440673577;
2160; 6.044; 5.949; 0.0005918; 0.6017; 0.9303; 8805.48403571015;
2170; 6.0; 5.907; 0.0005917; 0.6449; 0.923; 8875.490175150195;
2180; 5.998; 5.906; 0.0005916; 0.6999; 0.9274; 8832.85125067031;
2190; 5.997; 5.909; 0.0005914; 0.6849; 0.9256; 8850.556942279298;
2200; 5.976; 5.884; 0.0005913; 0.6997; 0.9232; 8873.839785166732;
2210; 5.957; 5.868; 0.0005912; 0.7089; 0.9323; 8787.243354276934;
2220; 5.95; 5.856; 0.0005911; 0.682; 0.9269; 8837.954097847905;
2230; 6.006; 5.905; 0.000591; 0.7221; 0.9274; 8833.319031268542;
2240; 5.97; 5.87; 0.0005909; 0.6794; 0.9262; 8844.421772990589;
2250; 5.957; 5.856; 0.0005907; 0.6483; 0.9386; 8727.710225621664;
2260; 5.937; 5.837; 0.0005906; 0.6903; 0.9294; 8814.659939836152;
2270; 5.959; 5.846; 0.0005905; 0.7528; 0.9349; 8762.398306059438;
2280; 5.944; 5.85; 0.0005904; 0.7636; 0.9358; 8754.207291831213;
2290; 5.933; 5.848; 0.0005903; 0.6829; 0.9206; 8898.985225137494;
2300; 5.926; 5.834; 0.0005901; 0.6442; 0.9365; 8747.240593207955;
2310; 5.937; 5.847; 0.00059; 0.6648; 0.9303; 8806.228780184501;
2320; 5.946; 5.842; 0.0005899; 0.7239; 0.934; 8770.58227512066;
2330; 5.926; 5.835; 0.0005898; 0.7112; 0.926; 8846.298099344478;
2340; 5.929; 5.843; 0.0005896; 0.7655; 0.9363; 8749.144970310992;
2350; 5.934; 5.85; 0.0005895; 0.8353; 0.9181; 8922.843658175618;
2360; 5.92; 5.824; 0.0005894; 0.6717; 0.9289; 8819.175839175612;
